dataset,lib,fmt,n_trees,batch,bytes,t_numpy_s,t_import_s,t_load_s,t_first_pred_s,t_steady_p50_s,t_steady_p95_s,ttfp,import_share,n_obs
calif,cat,native,2000,1024,2230040.0,0.076556598,1.647260781,0.005693924,0.00680139,0.0030288090000000004,0.0041675010000000005,1783.743357,92.40083258877578,5
calif,cat,onnx,100,1,466990.0,0.11074283200000001,0.061589428,0.023036558000000002,0.000808567,3.8734000000000006e-05,5.7439000000000004e-05,240.351959,25.62468317555922,5
calif,cat,onnx,100,32,466990.0,0.10269231200000001,0.062292455000000004,0.023293457,0.000958721,0.00020239900000000003,0.000243448,234.09479799999997,24.153819891473603,5
calif,cat,onnx,100,1024,466990.0,0.073238727,0.04405399,0.014797658000000002,0.004272084000000001,0.003645629,0.003872471,179.19297400000002,24.58466368218209,5
calif,cat,onnx,500,1,2379412.0,0.109773903,0.058219626000000003,0.069751965,0.00079594,9.0402e-05,0.00013961800000000002,290.280775,18.555171657076876,5
calif,cat,onnx,500,32,2379412.0,0.07493783200000001,0.040380335,0.059442218000000005,0.001453351,0.0007500310000000001,0.000821227,223.27197,18.2977168229474,5
calif,cat,onnx,500,1024,2379412.0,0.07814876800000001,0.04081202,0.059810118,0.018060138,0.017445868,0.020075994,240.449445,17.185513944434224,5
calif,cat,onnx,2000,1,9571086.0,0.07551754100000001,0.049823654,0.24148522500000003,0.0014906750000000001,0.000341514,0.00040881800000000003,411.694716,10.29050290100023,5
calif,cat,onnx,2000,32,9571086.0,0.074205611,0.041301014000000004,0.23384738300000002,0.003877881,0.0028328560000000003,0.0032235730000000004,404.466918,10.39127521009964,5
calif,cat,onnx,2000,1024,9571086.0,0.07787598100000001,0.045038109,0.247063727,0.075883082,0.076235781,0.10032297200000001,489.831186,9.287647930638553,5
calif,cat,pickle,100,1,119357.0,0.074176554,1.653351577,0.00114834,0.005955466,0.000604563,0.0007136800000000001,1777.5538849999998,92.82052118669542,5
calif,cat,pickle,100,32,119357.0,0.074123599,1.5752764209999999,0.000852484,0.005202183,0.000760219,0.001057201,1699.2634269999999,92.76069202531428,5
calif,cat,pickle,100,1024,119357.0,0.07463907,1.607449451,0.0008641170000000001,0.005508062,0.00122455,0.00154465,1744.073177,92.70873703857536,5
calif,cat,pickle,500,1,565022.0,0.080244563,1.625549473,0.0015601030000000002,0.004168889,0.000611967,0.0006784790000000001,1758.8703630000002,92.66483748861305,5
calif,cat,pickle,500,32,565022.0,0.07511471,1.562760949,0.001646464,0.005077385,0.0007882560000000001,0.0009043310000000001,1687.394927,92.6592878524675,5
calif,cat,pickle,500,1024,565022.0,0.08046775,1.606321061,0.0016100230000000001,0.0057619360000000005,0.001538779,0.001872458,1737.759498,92.43633638807137,5
calif,cat,pickle,2000,1,2230518.0,0.076005897,1.593729272,0.0038704440000000002,0.004239057,0.000678764,0.00079945,1718.380231,92.55971596745887,5
calif,cat,pickle,2000,32,2230518.0,0.088748374,1.6234956930000002,0.0038549440000000003,0.0051807350000000005,0.0009169530000000001,0.001029408,1748.7014860000002,92.83884692288402,5
calif,cat,pickle,2000,1024,2230518.0,0.08039739700000001,1.6374009950000001,0.0038593050000000004,0.007453808,0.0030864910000000002,0.005541522,1786.203092,92.39531475176908,5
calif,lgb,joblib,100,1,288782.0,0.081258435,1.946418701,0.003408902,0.0036166970000000003,0.0008939760000000001,0.0009521480000000001,2087.562007,93.94724572196981,5
calif,lgb,joblib,100,32,288782.0,0.07381710200000001,1.9515943610000002,0.003636343,0.0038305820000000003,0.0010904,0.0013216600000000001,2076.6336570000003,93.95889379139635,5
calif,lgb,joblib,100,1024,288782.0,0.072988552,1.939257484,0.003387821,0.00871176,0.006156927,0.009724543,2068.2752790000004,93.76664349614936,5
calif,lgb,joblib,500,1,1424984.0,0.073531601,2.043147,0.015177443,0.0035610240000000003,0.001056904,0.001217491,2177.4531139999995,93.51833164753046,5
calif,lgb,joblib,500,32,1424984.0,0.075548311,1.9617036520000002,0.014856508000000001,0.004222216,0.0017106390000000001,0.0019821630000000003,2100.085956,93.54280988608093,5
calif,lgb,joblib,500,1024,1424984.0,0.07529730200000001,2.002408511,0.015068759000000001,0.02579909,0.022627125,0.035245419,2167.2006340000003,92.5336089293574,5
